object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,
'Cari Aman,'1074575972094009344,17/12/2018 15:04,'social_media,'twitter,'status,'keyword,'Cari Aman,'2227928222,'Sahabat_TM,'Sahabat Trio Motor,'Hayo disini siapa yang selalu ingat #Cari_Aman pakai jaket dan helmnya kalo lagi riding? 🙋🙋🙋 . #SafetyIndonesia #SafetyRiding #Cari_Aman #TrioMotor #OneHeart #SatuHati,0,'http://pbs.twimg.com/profile_images/814401742792077312/IshAnxVs_normal.jpg,[],'https://twitter.com/statuses/1074575972094009344,'Main Dealer Sepeda Motor Honda untuk Wilayah Kalimantan Selatan-Kalimantan Tengah,'1074575963852341248,'2227928222,,,[],274,0,0,0,,,'Kalimantan Selatan, Indonesia,[],"[""technology"",""automotive"",""environment"",""travel"",""religious"",""game""]",0,,,,'in,,,,,,,,,
Yamaha Motor Indonesia,'10155999896652643_10156001115467643,17/12/2018 8:30,'social_media,'facebook,'comment,'account,'114547457642,'UCEzSagcODQcwPXWdTzjkNeQ,'m7mad gamer,'m7mad gamer,'Heri Irawan ngibul kali wk wk wk wk wk,0,'https://graph.facebook.com//picture,[],'https://facebook.com/10155999896652643_10156001115467643,'https://t.co/EoVxXkpdVP #Switzerland 🇨🇭🇱🇮,'114547457642_10155999896652643,'114547457642,,,[],0,0,0,0,,'Switzerland,,[],0,,,,'de,'it,,,,,,,,,,
'Honda,'1074530225562755073,17/12/2018 12:02,'social_media,'twitter,'status,'keyword,'Honda,'944970700971839490,'motogp_corner,'MotogpCorner,'Hohe latihan teratur banget untuk menyambut musim 2019. Mendatang     Mengingat 2019 harus kita hadapi dengan lapang dada,-1,0,'http://pbs.twimg.com/profile_images/990355372786442240/pJ3e0DQ0_normal.jpg,[],'https://twitter.com/statuses/1074530225562755073,'MC,'gxiDYxYPHhg,,,,[],32,0,1,0,,'Jakarta Capital Region,'male,[],"[""entertainment""]",1,,,'in,'in,,,,,,,,,
'beat,'1074570440083828736,17/12/2018 14:42,'social_media,'twitter,'status,'keyword,'beat,'908965910815240192,'hendrik21061980,'🇮🇩🇮🇩🇮🇩@hendrik21061980,'Honda beat cw 2018. Dp 1juta,-1, hbgi kontak watsap 081377019077 atau 082273733059 https://t.co/RX5pgsSXWG,0,'http://pbs.twimg.com/profile_images/1019656026499428352/HqFrowgc_normal.jpg,"[""http://pbs.twimg.com/media/DumkFUAU0AA6je3.jpg""]",'https://twitter.com/statuses/1074570440083828736,'sabar,'5l0cAR9lSB4,,,,[],202,0,0,0,,,'Denpasar Selatan, Indonesia,[],[],0,'Indonesia,'Denpasar,'Bali,'in,,,,,,,
'beat,'1074569572638908417,17/12/2018 14:38,'social_media,'twitter,'status,'keyword,'beat,'958549702621904896,'maduhutanntt3,'madu hutan ntt 3,'Honda beat keluaran juli 2018 Surat2 bpkb &amp stnk lengkap Pajak hidup sampai 2019 Kondisi mesin seperti baru keluar dari diler Harga 13,-1,0,'http://pbs.twimg.com/profile_images/1069751107235115008/OwF-gShH_normal.jpg,"[""http://pbs.twimg.com/media/DumjULNV4AIDAd4.jpg""]",'https://twitter.com/statuses/1074569572638908417,'kami melayani dan mejual madu hutan ntt asli langsung dari sarangnya butuh informasi dan pemesanan silahkan hubungi kami  telp/sms/WA : 08113823086,'gxiDYxYPHhg,,,,[],177,0,0,0,,,'Nusa Tenggara Timur, Indonesia,[],"[""technology"",""environment"",""economy"",""education"",""health""]",0,,,,'in,,,,,,,,
'beat,'1074702554984927232,17/12/2018 23:27,'social_media,'twitter,'status,'keyword,'beat,'4091426426,'andilala1549,'Andi Lala,'Honda BeAT Street Versi Facelift Terbaru https://t.co/fxqtwHToe1 lewat @andilala1549,0,'http://pbs.twimg.com/profile_images/1014106357610393602/U4CTP_XV_normal.jpg,[],'https://twitter.com/statuses/1074702554984927232,'WA:08176481972 FB: Andi Lala Line:and1faqih,'T7TgvGjk8aA,,,,"[{""id"":""\\""4091426426\\"""",""name"":""\\""andilala1549\\""""}]",375,0,0,0,,,'Bekasi Barat, Indonesia,'male,[],0,'Indonesia,'Bekasi,'Jawa Barat,'in,,,,,,,,,
'honda,'1074519774208483329,17/12/2018 11:20,'social_media,'twitter,'status,'keyword,'honda,'906831145026781184,'pemujaraha001,'Pemuja Rahasia 001,'HONDA CB 1100EX 2017 | RIDE 3 INDONESIA PART 4 | GRAND LAKE | PC GAME PLAY: https://t.co/ctIQA2EmAX melalui @YouTube,0,'http://pbs.twimg.com/profile_images/906836590470733824/soC_8W_T_normal.jpg,[],'https://twitter.com/statuses/1074519774208483329,'motovloger, vloger, youtuber gaming, bloger. penyuka fotografi, videografi, film kokos, kartun, karya sastra dan lain sebagainya,'JZ1CTIRkjqE,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",3,0,0,0,,'ÜT: -6.58165,106.81591,'Balikpapan, Indonesia,[],"[""photography"",""technology"",""entertainment"",""automotive"",""design"",""art"",""fashion"",""education""]",0,'Indonesia,'Balikpapan,'Kalimantan Timur,'in,
'honda,'1074684838618251264,17/12/2018 22:16,'social_media,'twitter,'status,'keyword,'honda,'94744339,'ghuponk,'muhammad ghufron,'Honda Forza 250 Sudah Hadir Di Jawa Tengah,-1,0,'http://pbs.twimg.com/profile_images/848786079750569985/37RSZwij_normal.jpg,[],'https://twitter.com/statuses/1074684838618251264,'teknik sistem informasi\\'10, @Universitas Muria Kudus | My Sweetheart @henny_lestary,'06aJV0q34r0,,,,"[{""id"":""\\""10228272\\"""",""name"":""\\""YouTube\\""""}]",403,0,0,0,,,'Kudus,'male,"[""art"",""fashion"",""education"",""health"",""game""]",0,'Indonesia,'Kudus,'Jawa Tengah,'in,,,,,,,,
'honda,'1074564161051521024,17/12/2018 14:17,'social_media,'twitter,'status,'keyword,'honda,'426744171,'hanes_bc,'Han BC,'Honda Forza resmi hadir di Sumatera barat Skuter matic premium terbaru dari Honda ini mengusung mesin 250cc berpendingin cairan dilengkapi dengan Honda Selectable Torque Control untuk mencegah roda slip saat... https://t.co/SbpLDqBbkC,0,'http://pbs.twimg.com/profile_images/1669878207/67651_1210658322296_1703907993_402587_3693385_a_normal.jpg,[],'https://twitter.com/statuses/1074564161051521024,'?????????????????????????????????????,'GApglHuf0ro,,,,[],18,0,0,0,,'????????????,'Padang - Indonesia,[],[],0,'Indonesia,'Padang,'Sumatera Barat,'in,,,,,,,,,,
'honda,'1074564116847702016,17/12/2018 14:17,'social_media,'twitter,'status,'keyword,'honda,'977280421,'menara_agung,'Menara Agung,'Honda Forza resmi hadir di Sumatera barat Skuter matic premium terbaru dari Honda ini mengusung mesin 250cc berpendingin cairan dilengkapi dengan Honda Selectable Torque Control untuk… https://t.co/NdFn0m1SOZ,0,'http://pbs.twimg.com/profile_images/831340622195761153/2dKbAGVi_normal.jpg,[],'https://twitter.com/statuses/1074564116847702016,'Official Twitter Honda Menara Agung | Honda Sumbar | OneHEART. | SatuHati.,'JZ1CTIRkjqE,,,,[],102,0,0,0,,,'Padang,'male,"[""automotive"",""art"",""game""]",0,'Indonesia,'Padang,'Sumatera Barat,'in,,,,,,,,,,
