object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,,,,,
'Yamaha Motor Indonesia,'10155990950637643_10155993981427643,13/12/2018 16:14,'social_media,'facebook,'comment,'account,'114547457642,,,,'#2019tetepYAMAHA..walaupun pililihan presiden boleh berbeda,2,'https://graph.facebook.com//picture,[],'https://facebook.com/10155990950637643_10155993981427643,,'114547457642_10155990950637643,'114547457642,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,
'esp,'1076349757235187712,22/12/2018 12:32,'social_media,'twitter,'status,'keyword,'esp,'4536269423,'delermotorjogja,'Dealer Motor Jogja,'#Dealer #Motor #Jogja Harga Harga Cash - Kredit Honda Vario 150 Esp Jogja Terbaru 2018 https://t.co/7j6bdxklAw,2,'http://pbs.twimg.com/profile_images/966600108170133504/VLTmd9fh_normal.jpg,[],'https://twitter.com/statuses/1076349757235187712,'Melayani Pembelian Sepeda motor Honda untuk wilayan Yogyakarta dan sekitarnya | #dealer #motor #jogja | Cp. 085642902089,,,,,[],1488,0,0,0,,,'Yogyakarta, Indonesia,,"[""automotive"",""environment"",""travel"",""art"",""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,,,,,,,,,,,,,
'esp,'1076379948405862400,22/12/2018 14:32,'social_media,'twitter,'status,'keyword,'esp,'4536269423,'delermotorjogja,'Dealer Motor Jogja,'#Dealer #Motor #Jogja Harga Promo Cash - Kredit Honda Beat Esp Jogja 2018 https://t.co/cWWc6Zy2Me,2,'http://pbs.twimg.com/profile_images/966600108170133504/VLTmd9fh_normal.jpg,[],'https://twitter.com/statuses/1076379948405862400,'Melayani Pembelian Sepeda motor Honda untuk wilayan Yogyakarta dan sekitarnya | #dealer #motor #jogja | Cp. 085642902089,,,,,[],1488,0,0,0,,,'Yogyakarta, Indonesia,,"[""automotive"",""environment"",""travel"",""art"",""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,,,,,,,,,,,,,
'esp,'1076289352433524736,22/12/2018 8:32,'social_media,'twitter,'status,'keyword,'esp,'4536269423,'delermotorjogja,'Dealer Motor Jogja,'#Dealer #Motor #Jogja Harga Promo Cash - Kredit Honda Beat Esp Jogja Terbaru 2018 https://t.co/G19pZ53c90,2,'http://pbs.twimg.com/profile_images/966600108170133504/VLTmd9fh_normal.jpg,[],'https://twitter.com/statuses/1076289352433524736,'Melayani Pembelian Sepeda motor Honda untuk wilayan Yogyakarta dan sekitarnya | #dealer #motor #jogja | Cp. 085642902089,,,,,[],1488,0,0,0,,,'Yogyakarta, Indonesia,,"[""automotive"",""environment"",""travel"",""art"",""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,,,,,,,,,,,,,
'beat,'1070098573092511744,05/12/2018 6:32,'social_media,'twitter,'status,'keyword,'beat,'4536269423,'delermotorjogja,'Dealer Motor Jogja,'#Dealer #Motor #Jogja Harga Promo Cash - Kredit Honda Beat Esp Jogja Terbaru 2018 https://t.co/G19pZ53c90,2,'http://pbs.twimg.com/profile_images/966600108170133504/VLTmd9fh_normal.jpg,[],'https://twitter.com/statuses/1070098573092511744,'Melayani Pembelian Sepeda motor Honda untuk wilayan Yogyakarta dan sekitarnya | #dealer #motor #jogja | Cp. 085642902089,,,,,[],1491,0,0,0,,'Yogyakarta, Indonesia,,"[""automotive"",""environment"",""travel"",""art"",""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,'id,,,,,,,,,,,,,
'supra,'1072695679074525184,12/12/2018 10:32,'social_media,'twitter,'status,'keyword,'supra,'4536269423,'delermotorjogja,'Dealer Motor Jogja,'#Dealer #Motor #Jogja Harga Promo Cash - Kredit Honda Supra X 125 FI Jogja Terbaru 2018 https://t.co/ZSDVijA78O,2,'http://pbs.twimg.com/profile_images/966600108170133504/VLTmd9fh_normal.jpg,[],'https://twitter.com/statuses/1072695679074525184,'Melayani Pembelian Sepeda motor Honda untuk wilayan Yogyakarta dan sekitarnya | #dealer #motor #jogja | Cp. 085642902089,,,,,[],1490,0,0,0,,'Yogyakarta, Indonesia,,"[""automotive"",""environment"",""travel"",""art"",""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,'id,,,,,,,,,,,,,
'supra,'1073088278088245248,13/12/2018 12:32,'social_media,'twitter,'status,'keyword,'supra,'4536269423,'delermotorjogja,'Dealer Motor Jogja,'#Dealer #Motor #Jogja Harga Promo Cash - Kredit Honda Supra X 125 FI Jogja Terbaru 2018 https://t.co/ZSDVijA78O,2,'http://pbs.twimg.com/profile_images/966600108170133504/VLTmd9fh_normal.jpg,[],'https://twitter.com/statuses/1073088278088245248,'Melayani Pembelian Sepeda motor Honda untuk wilayan Yogyakarta dan sekitarnya | #dealer #motor #jogja | Cp. 085642902089,,,,,[],1490,0,0,0,,'Yogyakarta, Indonesia,,"[""automotive"",""environment"",""travel"",""art"",""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,'id,,,,,,,,,,,,,
'scoopy,'1073299654761099264,14/12/2018 2:32,'social_media,'twitter,'status,'keyword,'scoopy,'4536269423,'delermotorjogja,'Dealer Motor Jogja,'#Dealer #Motor #Jogja Harga Promo Cash - Kredit Scoopy Jogja Terbaru 2018 https://t.co/pKR1qoHGc9,2,'http://pbs.twimg.com/profile_images/966600108170133504/VLTmd9fh_normal.jpg,[],'https://twitter.com/statuses/1073299654761099264,'Melayani Pembelian Sepeda motor Honda untuk wilayan Yogyakarta dan sekitarnya | #dealer #motor #jogja | Cp. 085642902089,,,,,[],1490,0,0,0,,'Yogyakarta, Indonesia,,"[""automotive"",""environment"",""travel"",""art"",""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,'id,,,,,,,,,,,,,
'scoopy,'1073782840989442048,15/12/2018 10:32,'social_media,'twitter,'status,'keyword,'scoopy,'4536269423,'delermotorjogja,'Dealer Motor Jogja,'#Dealer #Motor #Jogja Harga Promo Cash - Kredit Scoopy Jogja Terbaru 2018 https://t.co/pKR1qoHGc9,2,'http://pbs.twimg.com/profile_images/966600108170133504/VLTmd9fh_normal.jpg,[],'https://twitter.com/statuses/1073782840989442048,'Melayani Pembelian Sepeda motor Honda untuk wilayan Yogyakarta dan sekitarnya | #dealer #motor #jogja | Cp. 085642902089,,,,,[],1490,0,0,0,,'Yogyakarta, Indonesia,,"[""automotive"",""environment"",""travel"",""art"",""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,'id,,,,,,,,,,,,,
'scoopy,'1076077971666960389,21/12/2018 18:32,'social_media,'twitter,'status,'keyword,'scoopy,'4536269423,'delermotorjogja,'Dealer Motor Jogja,'#Dealer #Motor #Jogja Harga Promo Cash - Kredit Scoopy Jogja Terbaru 2018 https://t.co/pKR1qoHGc9,2,'http://pbs.twimg.com/profile_images/966600108170133504/VLTmd9fh_normal.jpg,[],'https://twitter.com/statuses/1076077971666960389,'Melayani Pembelian Sepeda motor Honda untuk wilayan Yogyakarta dan sekitarnya | #dealer #motor #jogja | Cp. 085642902089,,,,,[],1488,0,0,0,,,'Yogyakarta, Indonesia,,"[""automotive"",""environment"",""travel"",""art"",""game""]",0,'Indonesia,'Yogyakarta,'DI Yogyakarta,'in,,,,,,,,,,,,,
