original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang
'1364734936996607_1365466750256759,01/11/2018 22:24,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Nah yang begini nih yang cocok buat anak muda jaman now..,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1364734936996607_1365466750256759,,'275216562615122_1364734936996607,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1365325680270866_1365432253593542,01/11/2018 21:59,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Kasih mesin 2000cc dulu baru ngomong adventure 🤣,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1365325680270866_1365432253593542,,'275216562615122_1365325680270866,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1365325680270866_1365427800260654,01/11/2018 21:50,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,"'Ngk takut lagi nih kalo mau jalan"" medan yg berat😎",2,'https://graph.facebook.com//picture,[],'https://facebook.com/1365325680270866_1365427800260654,,'275216562615122_1365325680270866,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1364734936996607_1365427316927369,01/11/2018 21:49,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Merahnya elegan. Pas nih buat hang out bareng temen,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1364734936996607_1365427316927369,,'275216562615122_1364734936996607,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1365325680270866_1365409876929113,01/11/2018 21:23,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Mantap N Keren..,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1365325680270866_1365409876929113,,'275216562615122_1365325680270866,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1365325680270866_1365372950266139,01/11/2018 20:20,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Wah,-1,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1365325680270866_1365372950266139,,'275216562615122_1365325680270866,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,
'1365325680270866_1365370193599748,01/11/2018 20:16,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Pas bgt nih Datsun Cross untuk yg punya jiwa petualang,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1365325680270866_1365370193599748,,'275216562615122_1365325680270866,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1364734936996607_1365369230266511,01/11/2018 20:14,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Datsun for me the one and only,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1364734936996607_1365369230266511,,'275216562615122_1364734936996607,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1365325680270866_1365365270266907,01/11/2018 20:06,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Datsun cross cocok buat adventure nih,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1365325680270866_1365365270266907,,'275216562615122_1365325680270866,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'275216562615122_1365325680270866,01/11/2018 20:00,'social_media,'facebook,'post,'account,Datsun.indonesia ,'275216562615122,'Datsun Indonesia,'Datsun Indonesia,'Jangan batasi eksplorasi Anda bersama Datsun CROSS. Dibekali dengan peredam yang cepat merespon setiap goncangan,-1,2,'https://graph.facebook.com/275216562615122/picture,[],'https://facebook.com/275216562615122_1365325680270866,,,,,,[],0,1,8,0,,,'male,[],9,,,,
'1364734936996607_1365344883602279,01/11/2018 19:21,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Mantapp. Keren banget Datsun.,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1364734936996607_1365344883602279,,'275216562615122_1364734936996607,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,,
'1364734936996607_1365325603604207,01/11/2018 18:39,'social_media,'facebook,'comment,'account,Datsun.indonesia ,,,,'Cool Warnanya merah,-1,2,'https://graph.facebook.com//picture,[],'https://facebook.com/1364734936996607_1365325603604207,,'275216562615122_1364734936996607,'275216562615122,,,[],0,0,0,0,,,,[],0,,,,
