object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,
AirAsia_indo,'1071458895162294272,09/12/2018 00.38,'social_media,'twitter,'status,'account,'113292385,'2278761810,'bankmandiri,'bank mandiri,'@Ardimnsyr @AirAsia_indo Selamat malam Bpk Ardi. Mohon maaf ats ketidaknyamanan yg Bpk alami. utk kendala yg Bpk alami akan di bantu oleh @mandiricard . Tks ~ Theo,0,'http://pbs.twimg.com/profile_images/829865693185138688/D1y2Ciyn_normal.jpg,[],https://twitter.com/statuses/1071458895162294272,'official account | part of @mandirifiesta @mandiricard @wrausahamandiri | customer care: @mandiricare,'1071446857618845696,'75786738,,,"[{""id"":""75786738"",""name"":""Ardimnsyr""},{""id"":""113292385"",""name"":""AirAsia_indo""},{""id"":""115848008"",""name"":""mandiricard""}]",117567,0,0,0,,'Jakarta,,[],0,,,,'in,'en,,,,,,,,,
IndonesiaGaruda,'1071467675019137024,09/12/2018 01.12,'social_media,'twitter,'status,'account,'155418706,'155418706,'IndonesiaGaruda,'Garuda Indonesia,'@Ardimnsyr Kami nantikan reservasinya :) - Robby,0,'http://pbs.twimg.com/profile_images/445427923554562048/dYJF3HXV_normal.jpeg,[],'https://twitter.com/statuses/1071467675019137024,'The Airline Of Indonesia | 24hrs Call Center 08041807807, +622123519999 | customer@garuda-indonesia.com |FB https://t.co/mqO603cDjl,'1071467393182924800,'75786738,,,"[{""id"":""75786738"",""name"":""Ardimnsyr""}]",3370114,0,0,0,,'Cengkareng,,[],0,,,,'in,'en,,,,,,,,
IndonesiaGaruda,'1071468773012463618,09/12/2018 01.17,'social_media,'twitter,'status,'account,'155418706,'155418706,'IndonesiaGaruda,'Garuda Indonesia,'@Ardimnsyr Layanan Garuda Indonesia Vintage Flight Experience tersedia pada penerbangan yang ada pada tautan berikut https://t.co/0z9OdydYyl reservasi dapat dilakukan pada Web GA. Terima kasih. - Robby,0,'http://pbs.twimg.com/profile_images/445427923554562048/dYJF3HXV_normal.jpeg,[],'https://twitter.com/statuses/1071468773012463618,'The Airline Of Indonesia | 24hrs Call Center 08041807807, +622123519999 | customer@garuda-indonesia.com |FB https://t.co/mqO603cDjl,'1071467954468904961,'75786738,,,"[{""id"":""75786738"",""name"":""Ardimnsyr""}]",3370114,0,1,0,,'Cengkareng,,[],0,,,,'in,'en,,,,,,,,
IndonesiaGaruda,'1071469765380661248,09/12/2018 01.21,'social_media,'twitter,'status,'account,'155418706,'155418706,'IndonesiaGaruda,'Garuda Indonesia,'@Ardimnsyr You're welcome :) - Robby,0,'http://pbs.twimg.com/profile_images/445427923554562048/dYJF3HXV_normal.jpeg,[],'https://twitter.com/statuses/1071469765380661248,'The Airline Of Indonesia | 24hrs Call Center 08041807807, +622123519999 | customer@garuda-indonesia.com |FB https://t.co/mqO603cDjl,'1071469600678662145,'75786738,,,"[{""id"":""75786738"",""name"":""Ardimnsyr""}]",3370114,0,0,0,,'Cengkareng,,[],0,,,,'en,'en,,,,,,,,
IndonesiaGaruda,'1071456513611358208,09/12/2018 00.28,'social_media,'twitter,'status,'account,'155418706,'2239337156,'PiinAlpin,'ㄞ`Yαgυяα,'@dhekthree @IndonesiaGaruda @Garuda_Promo @GarudaCares @garuda @IndoAviation @habibthink @NUgarislucu @Pro2Ambon @dutafm @ambon Punya bakat nii.. @KatlinLenggo,0,'http://pbs.twimg.com/profile_images/1044560988958162946/Z0Cd7jc5_normal.jpg,[],https://twitter.com/statuses/1071456513611358208,'Kesuksesan tidak datang dari apa yang diberi orang lain, melainkan usaha dan kerjakeras diri kita sendiri... Just do it.!! - ㄞ`Yαgυяα,'1071326163308429314,'88623379,,,"[{""id"":""88623379"",""name"":""dhekthree""},{""id"":""155418706"",""name"":""IndonesiaGaruda""},{""id"":""130033681"",""name"":""Garuda_Promo""},{""id"":""2809497406"",""name"":""GarudaCares""},{""id"":""122177351"",""name"":""garuda""},{""id"":""876919374"",""name"":""IndoAviation""},{""id"":""333923119"",""name"":""habibthink""},{""id"":""3069064298"",""name"":""NUgarislucu""},{""id"":""3016727442"",""name"":""Pro2Ambon""},{""id"":""132394332"",""name"":""dutafm""},{""id"":""15361954"",""name"":""ambon""},{""id"":""462904589"",""name"":""KatlinLenggo""}]",575,1,0,0,,'Daerah Istimewa Yogyakarta,,[],0,,,,'in,'id,,,,,,,,
IndonesiaGaruda,'1071467954468904961,09/12/2018 01.14,'social_media,'twitter,'status,'account,'155418706,'75786738,'Ardimnsyr,'Ardi Mansyur,'@IndonesiaGaruda Caranya tau kalau reservasinya untuk Vintage Flight Series gimana mz?,0,'http://pbs.twimg.com/profile_images/1056531950985334785/JjRwVAkO_normal.jpg,[],'https://twitter.com/statuses/1071467954468904961,'As radiant as the sun. From the 90s. Taurus.,'1071467675019137024,'155418706,,,"[{""id"":""155418706"",""name"":""IndonesiaGaruda""}]",1119,0,0,0,,'Jakarta Capital Region,,[],0,,,,'in,'en,,,,,,,,,
IndonesiaGaruda,'1071454500920078336,09/12/2018 00.20,'social_media,'twitter,'status,'account,'155418706,'126271027,'rhmnrmhn,'mas jo,'@IndonesiaGaruda Klo bisa jgn website aja. Semua lini sosmed garuda jg turut andil ngasih info.,0,'http://pbs.twimg.com/profile_images/1071684045979836416/Ayu-fTpT_normal.jpg,[],'https://twitter.com/statuses/1071454500920078336,''setia itu kepada dedikasi, bukan institusi' - INH,'1071449562676482048,'155418706,,,"[{""id"":""155418706"",""name"":""IndonesiaGaruda""}]",282,0,0,0,,,,[],0,,,,'in,'id,,,,,,,,
IndonesiaGaruda,'1071490648476241920,09/12/2018 02.44,'social_media,'twitter,'status,'account,'155418706,'824845001997770754,'Ribby90,'ribby ribby,'@IndonesiaGaruda pagi?,0,'http://pbs.twimg.com/profile_images/1039495833261985792/HOOxxkfF_normal.jpg,[],'https://twitter.com/statuses/1071490648476241920,,,'155418706,,,"[{""id"":""155418706"",""name"":""IndonesiaGaruda""}]",55,0,0,0,,,,[],0,,,,'in,'id,,,,,,,,,
lionairgroup,'1071457735353323521,09/12/2018 00.33,'social_media,'twitter,'status,'account,'733348166,'147756027,'Frediesta,'Frediesta,'@lionairgroup https://t.co/NM5JTH3cpU I cannot find the option to buy prepaid excess luggage online anywhere. Please tell me where to find it online?,0,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1071457735353323521,,,'733348166,,,"[{""id"":""733348166"",""name"":""lionairgroup""}]",15,0,0,0,,,,[],0,,,,'en,'en,,,,,,,,,
IndonesiaGaruda,'1071471131901620224,09/12/2018 01.26,'social_media,'twitter,'status,'account,'155418706,'547810070,'navihernandez86,'soredi_rasuna,'@maspaushitam @IndonesiaGaruda Plis make it happen.,0,'http://pbs.twimg.com/profile_images/999519572691640320/wMAWn90Y_normal.jpg,[],'https://twitter.com/statuses/1071471131901620224,'menjaga badan tetap skinny biar kelihatan harmless_jinak jinak merapi,'1070840573332877313,'489360230,,,"[{""id"":""489360230"",""name"":""maspaushitam""},{""id"":""155418706"",""name"":""IndonesiaGaruda""}]",56,0,0,0,,'Boyolali,,[],0,,,,'en,'id,,,,,,,,,
IndonesiaGaruda,'1071449562676482048,09/12/2018 00.00,'social_media,'twitter,'status,'account,'155418706,'155418706,'IndonesiaGaruda,'Garuda Indonesia,'@rhmnrmhn Informasi diadakannya kembali rute penerbangan tersebut telah kami umumkan melalui website. Terima kasih.  - Harry,0,'http://pbs.twimg.com/profile_images/445427923554562048/dYJF3HXV_normal.jpeg,[],'https://twitter.com/statuses/1071449562676482048,'The Airline Of Indonesia | 24hrs Call Center 08041807807, +622123519999 | customer@garuda-indonesia.com |FB https://t.co/mqO603cDjl,'1071448494894854144,'126271027,,,"[{""id"":""126271027"",""name"":""rhmnrmhn""}]",3370114,0,0,0,,'Cengkareng,,[],0,,,,'in,'en,,,,,,,,
IndonesiaGaruda,'1071455516256219136,09/12/2018 00.24,'social_media,'twitter,'status,'account,'155418706,'155418706,'IndonesiaGaruda,'Garuda Indonesia,'@rhmnrmhn Informasi pada linimasa kami telah dipublikasikan pada tanggal 03 Desember 2018. Terima kasih :) - Robby,0,'http://pbs.twimg.com/profile_images/445427923554562048/dYJF3HXV_normal.jpeg,[],'https://twitter.com/statuses/1071455516256219136,'The Airline Of Indonesia | 24hrs Call Center 08041807807, +622123519999 | customer@garuda-indonesia.com |FB https://t.co/mqO603cDjl,'1071454500920078336,'126271027,,,"[{""id"":""126271027"",""name"":""rhmnrmhn""}]",3370114,0,0,0,,'Cengkareng,,[],0,,,,'in,'en,,,,,,,,
