object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,,,,,,,,,
myXL,'1068551954635223042,01/12/2018 0:06,'social_media,'twitter,'status,'account,'82552414,'88960363,'noee_chibie,'anoe zhava elite,'@myXL Aku baru beli yg 15 Giga gak bisa di pake. Karena ringanya lemot buanget. Padahal dijakarta. Gimana nih maya,1,'http://pbs.twimg.com/profile_images/3170251547/5a6716cf9bc05b0a75102d2308037cd8_normal.jpeg,[],'https://twitter.com/statuses/1068551954635223042,'ku menikah dengannya,'1068429539334909952,'82552414,,,"[{""id"":""\\""82552414\\"""",""name"":""\\""myXL\\""""}]",23,0,0,0,,'jakarta timur , indonesia,,[],0,'Indonesia,'Jakarta Timur,'DKI Jakarta,'in,'id,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068552611912048641,01/12/2018 0:09,'social_media,'twitter,'status,'account,'548904824,'863093232,'renavtitis,'Rena Kusumawardani,'@IndosatCare ini gmn ya  udh hmpir seminggu sinyal 4G tp realitanya leled n buffering mulu. Lelah 😪😪 https://t.co/nmMPaL2ORE,1,1,'http://pbs.twimg.com/profile_images/905100596767670272/1b5FyuaE_normal.jpg,"[""http://pbs.twimg.com/media/DtRC6dXVYAAz2Kx.jpg""]",'https://twitter.com/statuses/1068552611912048641,'i have 3 sides : 1. The quiet side 2. The fun and crazy side  3. The side you never want to see,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",34,0,0,0,,'Purwokerto,'female,"[""education""]",0,,,,'in,'en,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068553774233346048,01/12/2018 0:14,'social_media,'twitter,'status,'account,'548904824,'200028480,'irwan_wiratama,'irwan wiratama,'@IndosatCare indosat sdh 1 minggu ini speed internet nya down sekali.. hanya dapat 0.2Mbps.. dan saya lihat banyak sekali yg komplain dari berbagai daerah. Bila memang ada kerusakan jaringan  segera perbaiki donk.. sudah bbrp kali telepon ke 185 dan blm beres juga masalahnya,1,1,'http://pbs.twimg.com/profile_images/1507928000/IMG-20110812-00680_normal.jpg,[],'https://twitter.com/statuses/1068553774233346048,,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",8,0,0,0,,'Bandung,'male,[],0,'Indonesia,'Bandung,'Jawa Barat,'in,'en,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068554856695160832,01/12/2018 0:18,'social_media,'twitter,'status,'account,'548904824,'942068073980243968,'AshabuSuffah,'Ashabu Suffah,'@IndosatCare ini internet mati nggak di respon...nggak butuh pelanggan kali nih orang,1,'http://pbs.twimg.com/profile_images/948565824142417920/FcU6dbIS_normal.jpg,[],'https://twitter.com/statuses/1068554856695160832,'Ayo Gabung dengan MAJLIS ASHABUSUFFAH. UNTUK PEMUDA MUSLIM.Pendidikan Sosial Hiburan Keluarga Gerakan Sosial Ramadhan Idul Fitri,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",70,0,0,0,,'DKI Jakarta, Indonesia,,"[""technology"",""entertainment"",""travel"",""religious"",""social"",""education""]",0,,,,'in,'id,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068555949466501120,01/12/2018 0:22,'social_media,'twitter,'status,'account,'548904824,'2998046605,'dramdhan9,'D'Ramdhan,'@IndosatCare @Zumalalina cek DM min @IndosatCare,1,'http://pbs.twimg.com/profile_images/999718519871717377/AyPgePMK_normal.jpg,[],'https://twitter.com/statuses/1068555949466501120,,'1068555569542377472,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""},{""id"":""\\""1043806182970863616\\"""",""name"":""\\""Zumalalina\\""""},{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",2,0,0,0,,'DKI Jakarta, Indonesia,,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068557685224747008,01/12/2018 0:29,'social_media,'twitter,'status,'account,'548904824,'432354315,'hasnahahahahaha,'🥑,'@IndosatCare app myim3 knp gbs dibuka ya setiap mau buka tbtb keluar sendiri mulu. Udh di uninstall trs install lg padahal,1,'http://pbs.twimg.com/profile_images/1067240159366660096/f8iFekU6_normal.jpg,[],'https://twitter.com/statuses/1068557685224747008,'i luv cheese, i luv ice cream, i luv chocolate, i luv coffee�?��?🧀☕�?�?��?�,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",597,0,0,0,,,,"[""game""]",0,,,,'in,'en,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068558965666013185,01/12/2018 0:34,'social_media,'twitter,'status,'account,'548904824,'1067439343709483008,'arvi00463888,'arvi,'@IndosatCare gmn ini sinyal internet ente kok jelek  udah refresh mulu dr td tp kenapa ga ada notif dr dia. padahal buka detik aja bisa 😒😒😒,1,1,'http://pbs.twimg.com/profile_images/1067454980330676224/8p7epY7w_normal.jpg,[],'https://twitter.com/statuses/1068558965666013185,'gampang jatuh cinta, ikhlas dimainin hatinya 😂😂😂,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",26,0,0,0,,,,"[""technology"",""politic""]",0,,,,'in,'id,,,,,,,,,,,,,,,,
Indosat Ooredoo Care,'1068559728760905729,01/12/2018 0:37,'social_media,'twitter,'status,'account,'548904824,'172217986,'H3ndricX,'#lol#,'@IndosatCare malam min cek DM saya dong,1, trims,1,'http://pbs.twimg.com/profile_images/1026416945870950401/Nab_BxWt_normal.jpg,[],'https://twitter.com/statuses/1068559728760905729,'Manusia tlh mnjadi tuhan bg dirinya&sesama Kebenaran Mutlak bg manusia: 1.Lelucon plg lucu,tdk msk akal,aneh,gila 2.Diprgunakan sbg jwbn/alasan wkt ajal tiba,,'548904824,,,"[{""id"":""\\""548904824\\"""",""name"":""\\""IndosatCare\\""""}]",197,0,0,0,,'Kebenaran mutlak Allah=Yesus,,"[""technology"",""entertainment"",""religious"",""marketing""]",0,,,,'in,'id,,,,,,,,,,,,,
Smartfren Care,'1068560003701698560,01/12/2018 0:38,'social_media,'twitter,'status,'account,'376601151,'1703700512,'PujiekKezhot,'Kezhot ̈�? ͂ ͂ ̷�? ̈�?,'@smartfrencare Cek DM taik!!!!!,1,'http://pbs.twimg.com/profile_images/502331018074787841/_mq4MNjD_normal.jpeg,[],'https://twitter.com/statuses/1068560003701698560,'57C36E28,'1068540173858820097,'376601151,,,"[{""id"":""\\""376601151\\"""",""name"":""\\""smartfrencare\\""""}]",149,0,0,0,,'Weleri-Semarang Jawa Tengah,,[],0,'Indonesia,'Semarang,'Jawa Tengah,'in,'id,,,,,,,,,,,,,,,,,,
IM3 Ooredoo,'10157004792322948_10157006125317948,01/12/2018 0:40,'social_media,'facebook,'comment,'account,'39935792947,,,,'Kak admid knapa si indosat didaerahku jadi lelet bnget tak seprti duluu  solusi kak😭,1,1,'https://graph.facebook.com//picture,[],'https://facebook.com/10157004792322948_10157006125317948,,'39935792947_10157004792322948,'39935792947,,,[],0,0,0,0,,,,[],0,,,,,,,,,,,,,,,,,,,,,,
IM3 Ooredoo,'1068561401206034432,01/12/2018 0:44,'social_media,'twitter,'status,'account,'61379637,'870554599899267072,'dimasalviano3,'dimas alviano,'@IM3Ooredoo min kok sinyal internet saya udh berminggu2 unstable ya? Padahal sblm2nya kenceng,1,'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,[],'https://twitter.com/statuses/1068561401206034432,,,'61379637,,,"[{""id"":""\\""61379637\\"""",""name"":""\\""IM3Ooredoo\\""""}]",0,0,0,0,,,'male,[],0,,,,'in,'id,,,,,,,,,,,,,,,,,,
