object,original_id,date_created,resource_type,specific_resource_type,specific_type,stream_type,object_content,from_id,from_username,name,content,final_sentiment,from_display_picture,media_link,link,bio,reply_to_original_id,reply_to_user_id,retweet_from_original_id,retweet_from_user_id,mentioned,audience,virality,applause,talk,timezone,location,gender,interest,score,negara,kota,provinsi,lang,userlang,,,,,,,,,,,,,
'IKEA,'1086537244863680513,19/01/2019 15.14,'social_media,'twitter,'status,'keyword,'IKEA,'983024208253825024,'PDIPKecSmbmacan,'PAC PDI Perjuangan Kec. Sambungmacan,"'""Ada produk yang lebih hebat dari Ikea. Ya di sini. Lihat saja. Sekarang ini trennya mebel solid wood. Ini semua pr… https://t.co/gQLeTLCExi",2,'http://pbs.twimg.com/profile_images/985041447068954624/BTANzUDk_normal.jpg,[],'https://twitter.com/statuses/1086537244863680513,'Akun Resmi PAC PDI Perjuangan Kec. Sambungmacan,,,,,[],279,0,0,0,,,'Sambungmacan, Indonesia,,"[""technology"",""education""]",0,,,,'in,'id,,,,,,,,,,,
'IKEA,'1086685162300104704,20/01/2019 01.01,'social_media,'twitter,'status,'keyword,'IKEA,'3018282229,'bujangapatis,'Rashad.,"'""Karena belakangan ini hectic banget, rencana destinasi untuk jarak dekat sih ke IKEA dulu. Mau beli kasur baru yan… https://t.co/aTmAtoTtCI",2,'http://pbs.twimg.com/profile_images/1086540886131916800/1HPQ1jTz_normal.jpg,[],'https://twitter.com/statuses/1086685162300104704,'＃�??��??��??��??��??��??��??��??��??� ∕ �??��??� ┇ �?���?���?���?���?���?�� �?���?���?���?���?���?���?���?��, banyak bertingkah hingga ditinggal menikah. Hidupnya susah, bukan berarti harus jadi sampah.,,,,,[],422,0,0,0,,,,,"[""automotive"",""environment"",""art""]",0,,,,'in,'id,,,,,,,,,,
'rembang,'1057581455537098752,31/10/2018 17.34,'social_media,'twitter,'status,'keyword,'rembang,'819065767463292928,'kominfo_jtg,'Dinas Kominfo Jateng #AyoKerjaManeh,"'""Saya gembira dan memberikan apresiasi terhadap inovasi dan kreativitas yg dilakukan desa. Desa bisa berkontribusi dlm pembangunan dg berpartisipasi melalui penggunaan dana desa yang benar"" @ganjarpranowo  Video Conference Bursa Inovasi Desa Tingkat Kab. Rembang, Rabu (31/10) https://t.co/WHlsGEXbO0",2,'http://pbs.twimg.com/profile_images/1039739821974069248/Zk7zD6Df_normal.jpg,"[""http://pbs.twimg.com/media/Dq1IsQJVsAAumX-.jpg""]",'https://twitter.com/statuses/1057581455537098752,'Akun Resmi Dinas Kominfo Prov Jateng || sampaikan keluhan/kritik/saran anda dg menyertakan #kemalajateng | email : diskominfo@jatengprov.go.id,,,,,"[{""id"":""109762193"",""name"":""ganjarpranowo""}]",11535,10,29,0,,'Jl. Menteri Supeno I Nomor 2,,[],0,,,,'in,'en,,,,,,,,,,,,,
'Soekarno Hatta,'1071472762080813057,09/12/2018 01.33,'social_media,'twitter,'status,'keyword,'Soekarno Hatta,'454871017,'Kabar11,'Kabar,'* Bandara Soekarno-Hatta Raih Best Aiport Of The Year 2018 https://t.co/Kvei9xEvTl https://t.co/NP6Le7hXxh,2,'http://pbs.twimg.com/profile_images/1734093623/MISS_normal.jpg,"[""http://pbs.twimg.com/media/Dt6izGxVYAAYy3T.jpg""]",'https://twitter.com/statuses/1071472762080813057,'Hanya Ingin Berbagi Berita,,,,,[],3890,0,0,0,,'Jakarta,,[],0,,,,'in,'en,,,,,,,,,,,,,
ridwankamil,'1086820524641083393,20/01/2019 9:59,'social_media,'twitter,'status,'account,'80323736,'2909216167,'UmmiAlea,'Ummi Alea,'@ae_dik @de_asfa @Aliansy11796398 @ridwankamil 🤣🤣🤣🤣🤣mantull,2,'http://pbs.twimg.com/profile_images/734010953231007744/iHpRtLxi_normal.jpg,[],'https://twitter.com/statuses/1086820524641083393,'Simple mom,'1086578358652030978,'1031273503842959360,,,"[{""id"":""\\""1031273503842959360\\"""",""name"":""\\""ae_dik\\""""},{""id"":""\\""2882979234\\"""",""name"":""\\""de_asfa\\""""},{""id"":""\\""1083369929678630912\\"""",""name"":""\\""Aliansy11796398\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",7,0,2,0,,,,,[],2,,,,'in,'en-GB,,,,,,,,,,,,
ridwankamil,'1086989162073321472,20/01/2019 21:09,'social_media,'twitter,'status,'account,'80323736,'2653364197,'askos88,'Koes 💙,'@aepkustia71 @SanjayaDent @Dwiyana_DKM @ridwankamil @aewin86 @MasTBP_ @RizmaWidiono @B1G_kaySae @wakadol2012 @Toni_Rom63 @JajangRidwan19 @Y_Radianto @enylove2 @niaratmadja @OPratala @razzmon_ Mantul kang �?,2,'http://pbs.twimg.com/profile_images/800938866542686208/LRcFhDgD_normal.jpg,[],'https://twitter.com/statuses/1086989162073321472,'I 💙 🇲🇨 Aku Tidak Takut Kalah Aku Takut Jika Aku Salah ( btp ),'1086987916813815808,'932612109409460226,,,"[{""id"":""\\""932612109409460226\\"""",""name"":""\\""aepkustia71\\""""},{""id"":""\\""1080096470403932160\\"""",""name"":""\\""SanjayaDent\\""""},{""id"":""\\""223360867\\"""",""name"":""\\""Dwiyana_DKM\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""},{""id"":""\\""119691957\\"""",""name"":""\\""aewin86\\""""},{""id"":""\\""66746378\\"""",""name"":""\\""MasTBP_\\""""},{""id"":""\\""746241503714934784\\"""",""name"":""\\""RizmaWidiono\\""""},{""id"":""\\""2783528108\\"""",""name"":""\\""B1G_kaySae\\""""},{""id"":""\\""631705596\\"""",""name"":""\\""wakadol2012\\""""},{""id"":""\\""1341443192\\"""",""name"":""\\""Toni_Rom63\\""""},{""id"":""\\""894371084174147588\\"""",""name"":""\\""JajangRidwan19\\""""},{""id"":""\\""2542665199\\"""",""name"":""\\""Y_Radianto\\""""},{""id"":""\\""309095282\\"""",""name"":""\\""enylove2\\""""},{""id"":""\\""1145078053\\"""",""name"":""\\""niaratmadja\\""""},{""id"":""\\""1082829668254769152\\"""",""name"":""\\""OPratala\\""""},{""id"":""\\""62824520\\"""",""name"":""\\""razzmon_\\""""}]",2432,0,3,0,,,,,[],3,,,,'in,'id,,,,,,,,,,,,
ridwankamil,'1086934402490261506,20/01/2019 17:32,'social_media,'twitter,'status,'account,'80323736,'774600490403237888,'syaifulanam2611,'Syaifulanam,'@arzi_real @nu_online @ridwankamil @VeveZulfikar1 @MUI_Jabar @aisnusantara @Channel164 @alasantri mantab,2,'http://pbs.twimg.com/profile_images/774605744419123200/EZD1UfVI_normal.jpg,[],'https://twitter.com/statuses/1086934402490261506,'santri ndudok sumbercangkring gurah kediri,'1086259024704679937,'1001292586219290626,,,"[{""id"":""\\""1001292586219290626\\"""",""name"":""\\""arzi_real\\""""},{""id"":""\\""214818815\\"""",""name"":""\\""nu_online\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""},{""id"":""\\""1005798462707806209\\"""",""name"":""\\""VeveZulfikar1\\""""},{""id"":""\\""598942946\\"""",""name"":""\\""MUI_Jabar\\""""},{""id"":""\\""776368056914153472\\"""",""name"":""\\""aisnusantara\\""""},{""id"":""\\""4879702048\\"""",""name"":""\\""Channel164\\""""},{""id"":""\\""2916518575\\"""",""name"":""\\""alasantri\\""""}]",0,0,0,0,,,'Kediri, Indonesia,,[],0,'Indonesia,'Kediri,'Jawa Timur,'da,'id,,,,,,,,,,,
'informa,'1086620017217552385,19/01/2019 20.42,'social_media,'twitter,'status,'keyword,'informa,'1061919647056855041,'wizxble,'fa🌙�?,'@baksogeprek @Wannable_twts di informa ada kak  kl gasalah masih ada promo beli 1 gratis 1 jg😅,2,2,'http://pbs.twimg.com/profile_images/1086565794471862272/h6IOlO7e_normal.jpg,[],'https://twitter.com/statuses/1086620017217552385,'i'm being mulfan since 2019. wannable & maynable💖 also wiz*one and myday—,'1086619417193046017,'1014669734602686464,,,"[{""id"":""\\""1014669734602686464\\"""",""name"":""\\""baksogeprek\\""""},{""id"":""\\""972358616324890624\\"""",""name"":""\\""Wannable_twts\\""""}]",758,0,0,0,,,'hatinya pemain drum,,[],0,,,,'in,'id,,,,,,,,,,,
'informa,'1086619876372803587,19/01/2019 20.42,'social_media,'twitter,'status,'keyword,'informa,'1061919647056855041,'wizxble,'fa🌙�?,'@baksogeprek @Wannable_twts di informa jg ada kak  kl gasalah jg masih promo beli 1 gratis 1😅,2,2,'http://pbs.twimg.com/profile_images/1086565794471862272/h6IOlO7e_normal.jpg,[],'https://twitter.com/statuses/1086619876372803587,'i'm being mulfan since 2019. wannable & maynable💖 also wiz*one and myday—,'1086619417193046017,'1014669734602686464,,,"[{""id"":""\\""1014669734602686464\\"""",""name"":""\\""baksogeprek\\""""},{""id"":""\\""972358616324890624\\"""",""name"":""\\""Wannable_twts\\""""}]",756,0,0,0,,,'hatinya pemain drum,,[],0,,,,'in,'id,,,,,,,,,,,
ridwankamil,'1086878575465119745,20/01/2019 13:50,'social_media,'twitter,'status,'account,'80323736,'329577884,'brammanto,'bram,"'@detikcom MANTUL : ""Mantab Betul"" analisa dr pak @ridwankamil , semoga kaum KAMPRET cepat sadar, cepat insaf, dan kembali kejalan yang benar..Aamiin",2,'http://pbs.twimg.com/profile_images/2773992855/a9813b1aa540f36fcb49e8ef92399923_normal.jpeg,[],'https://twitter.com/statuses/1086878575465119745,,'1086616236337827840,'69183155,,,"[{""id"":""\\""69183155\\"""",""name"":""\\""detikcom\\""""},{""id"":""\\""80323736\\"""",""name"":""\\""ridwankamil\\""""}]",187,0,0,0,,,,,[],0,,,,'in,'en,,,,,,,,,,,,
